num,year,month,day,weekday,hour,temperature,is_weekday,season,festival,demand
1,2003,3,1,7,1,23,0,3,0,12863
2,2003,3,1,7,2,22,0,3,0,12389
3,2003,3,1,7,3,21,0,3,0,12155
4,2003,3,1,7,4,21,0,3,0,12072
5,2003,3,1,7,5,22,0,3,0,12160
6,2003,3,1,7,6,21,0,3,0,12568
7,2003,3,1,7,7,22,0,3,0,13236
8,2003,3,1,7,8,22,0,3,0,14190
9,2003,3,1,7,9,24,0,3,0,15213
10,2003,3,1,7,10,27,0,3,0,15647
11,2003,3,1,7,11,30,0,3,0,15653
12,2003,3,1,7,12,33,0,3,0,15416
13,2003,3,1,7,13,35,0,3,0,14994
14,2003,3,1,7,14,37,0,3,0,14581
15,2003,3,1,7,15,37,0,3,0,14335
16,2003,3,1,7,16,38,0,3,0,14269
17,2003,3,1,7,17,37,0,3,0,14685
18,2003,3,1,7,18,36,0,3,0,15680
19,2003,3,1,7,19,35,0,3,0,16386
20,2003,3,1,7,20,35,0,3,0,16020
21,2003,3,1,7,21,34,0,3,0,15476
22,2003,3,1,7,22,34,0,3,0,14753
23,2003,3,1,7,23,33,0,3,0,13757
24,2003,3,1,7,24,33,0,3,0,12707
25,2003,3,2,1,1,32,1,3,0,11861
26,2003,3,2,1,2,32,1,3,0,11373
27,2003,3,2,1,3,32,1,3,0,11085
28,2003,3,2,1,4,32,1,3,0,10905
29,2003,3,2,1,5,32,1,3,0,10930
30,2003,3,2,1,6,33,1,3,0,11167
31,2003,3,2,1,7,33,1,3,0,11604
32,2003,3,2,1,8,33,1,3,0,12347
33,2003,3,2,1,9,34,1,3,0,13501
34,2003,3,2,1,10,34,1,3,0,14438
35,2003,3,2,1,11,34,1,3,0,15055
36,2003,3,2,1,12,34,1,3,0,15407
37,2003,3,2,1,13,35,1,3,0,15513
38,2003,3,2,1,14,36,1,3,0,15331
39,2003,3,2,1,15,37,1,3,0,15192
40,2003,3,2,1,16,37,1,3,0,15175
41,2003,3,2,1,17,36,1,3,0,15574
42,2003,3,2,1,18,36,1,3,0,16281
43,2003,3,2,1,19,36,1,3,0,16842
44,2003,3,2,1,20,36,1,3,0,16504
45,2003,3,2,1,21,36,1,3,0,15815
46,2003,3,2,1,22,36,1,3,0,14745
47,2003,3,2,1,23,36,1,3,0,13444
48,2003,3,2,1,24,35,1,3,0,12350
49,2003,3,3,2,1,35,1,3,0,11657
50,2003,3,3,2,2,34,1,3,0,11358
51,2003,3,3,2,3,31,1,3,0,11315
52,2003,3,3,2,4,28,1,3,0,11511
53,2003,3,3,2,5,23,1,3,0,12068
54,2003,3,3,2,6,18,1,3,0,13523
55,2003,3,3,2,7,14,1,3,0,15850
56,2003,3,3,2,8,10,1,3,0,17340
57,2003,3,3,2,9,8,1,3,0,17839
58,2003,3,3,2,10,7,1,3,0,18048
59,2003,3,3,2,11,8,1,3,0,18192
60,2003,3,3,2,12,9,1,3,0,18169
61,2003,3,3,2,13,11,1,3,0,17991
62,2003,3,3,2,14,12,1,3,0,17783
63,2003,3,3,2,15,13,1,3,0,17489
64,2003,3,3,2,16,14,1,3,0,17374
65,2003,3,3,2,17,14,1,3,0,17762
66,2003,3,3,2,18,13,1,3,0,18849
67,2003,3,3,2,19,12,1,3,0,19997
68,2003,3,3,2,20,11,1,3,0,19764
69,2003,3,3,2,21,10,1,3,0,19089
70,2003,3,3,2,22,9,1,3,0,17930
71,2003,3,3,2,23,8,1,3,0,16416
72,2003,3,3,2,24,7,1,3,0,15059
73,2003,3,4,3,1,6,1,3,0,14222
74,2003,3,4,3,2,5,1,3,0,13870
75,2003,3,4,3,3,4,1,3,0,13748
76,2003,3,4,3,4,4,1,3,0,13804
77,2003,3,4,3,5,4,1,3,0,14133
78,2003,3,4,3,6,4,1,3,0,15287
79,2003,3,4,3,7,4,1,3,0,17309
80,2003,3,4,3,8,6,1,3,0,18491
81,2003,3,4,3,9,8,1,3,0,18619
82,2003,3,4,3,10,12,1,3,0,18460
83,2003,3,4,3,11,16,1,3,0,18238
84,2003,3,4,3,12,20,1,3,0,17933
85,2003,3,4,3,13,24,1,3,0,17506
86,2003,3,4,3,14,27,1,3,0,17242
87,2003,3,4,3,15,30,1,3,0,16849
88,2003,3,4,3,16,32,1,3,0,16694
89,2003,3,4,3,17,32,1,3,0,16961
90,2003,3,4,3,18,32,1,3,0,17904
91,2003,3,4,3,19,31,1,3,0,18908
92,2003,3,4,3,20,30,1,3,0,18578
93,2003,3,4,3,21,30,1,3,0,17856
94,2003,3,4,3,22,30,1,3,0,16623
95,2003,3,4,3,23,30,1,3,0,14996
96,2003,3,4,3,24,30,1,3,0,13581
97,2003,3,5,4,1,31,1,3,0,12638
98,2003,3,5,4,2,31,1,3,0,12184
99,2003,3,5,4,3,31,1,3,0,11961
100,2003,3,5,4,4,31,1,3,0,11884
101,2003,3,5,4,5,32,1,3,0,12150
102,2003,3,5,4,6,32,1,3,0,13256
103,2003,3,5,4,7,33,1,3,0,15276
104,2003,3,5,4,8,33,1,3,0,16536
105,2003,3,5,4,9,34,1,3,0,16874
106,2003,3,5,4,10,35,1,3,0,16941
107,2003,3,5,4,11,37,1,3,0,16984
108,2003,3,5,4,12,38,1,3,0,16918
109,2003,3,5,4,13,39,1,3,0,16721
110,2003,3,5,4,14,39,1,3,0,16646
111,2003,3,5,4,15,40,1,3,0,16426
112,2003,3,5,4,16,40,1,3,0,16381
113,2003,3,5,4,17,40,1,3,0,16745
114,2003,3,5,4,18,40,1,3,0,17506
115,2003,3,5,4,19,40,1,3,0,18091
